Old ARC!!! archive.
Last cleanup: 1977-06-30 02:31:54

File name       Words  Modified             Referenced  Byte
CHECK  4          908  1977-05-30 13:23:00  1977-06-05  36
CHECK  NBIN      1698  1977-05-29 15:39:41  1977-05-31  36
GC     8         1665  1977-06-16 22:22:55  1977-06-17  36
GC     NBIN      2949  1977-06-16 22:31:01  1977-06-17  36
HOLIDA 11         386  1977-05-23 12:31:55  1977-05-23  36
MAR    .DDT.       74  1977-05-21 22:05:31  1977-06-28  36
RECREA 11        1011  1977-01-23 16:43:55  1977-06-25  36
RECREA GBIN      1605  1977-02-09 22:44:13  1977-06-16  36
RECREA NBIN      1741  1977-01-23 16:44:12  1977-06-16  36
SSNAME 1           54  1976-12-19 22:36:53  1977-06-14  36
SSNAME NBIN        57  1976-12-19 17:57:43  1977-06-16  36
TRIVIA 9         1030  1977-06-23 16:17:23  1977-06-30  36
TRV    GLUE        43  1977-05-30 01:14:52  1977-06-27  36
TRV    MAKER      123  1977-04-28 02:48:23  1977-06-27  36
TVBUG  165       4914  1977-05-20 02:55:38  1977-06-29  36
UNUSED 6         1438  1977-04-23 03:46:13  1977-04-27  36
UNUSED NBIN      2226  1977-04-23 04:10:04  1977-04-23  36
ZORK   3          963  1977-06-30 00:14:37  1977-06-30  36
